390,220,407,220,404,336,388,335
475,222,491,222,491,276,475,276
518,222,534,222,534,251,518,251
561,222,577,222,577,278,561,278
584,222,600,222,600,252,584,252
606,222,622,222,622,252,606,252
718,224,736,224,736,252,718,252
368,228,384,228,384,318,368,318
432,228,448,228,448,283,432,283
788,232,803,232,803,262,788,262
238,248,252,248,252,257,238,257
234,255,253,256,247,386,229,385
518,256,534,256,534,276,518,276
259,256,275,256,275,281,259,281
608,257,620,257,620,268,608,268
582,257,598,257,598,278,582,278
718,259,732,259,732,297,718,297
785,267,801,267,801,332,785,332
281,268,297,268,297,296,281,296
761,275,779,275,779,307,761,307
257,281,273,281,273,310,257,310
303,290,322,291,318,400,300,399
692,294,710,294,710,332,692,332
283,294,301,296,298,333,280,332
625,296,641,296,641,339,625,339
716,303,733,304,729,360,712,359
257,310,272,310,272,323,257,323
760,312,779,312,779,342,760,342
259,324,273,324,273,334,259,334
432,326,446,326,446,345,432,345
257,332,273,332,273,356,257,356
281,336,296,336,296,345,281,345
342,339,360,339,360,377,342,377
693,337,711,339,707,386,689,385
624,346,641,347,638,384,621,383
782,348,800,348,800,414,782,414
278,348,296,348,296,372,278,372
760,348,777,348,777,379,760,379
253,354,272,355,268,431,250,430
364,366,380,366,380,411,364,411
712,366,729,366,729,420,712,420
470,369,486,369,486,398,470,398
276,372,296,372,296,401,276,401
428,377,444,377,444,406,428,406
342,382,358,382,358,411,342,411
756,384,776,384,776,404,756,404
228,385,248,385,248,412,228,412
620,392,641,392,641,420,620,420
688,392,707,392,707,422,688,422
470,396,486,396,486,424,470,424
276,401,292,401,292,419,276,419
512,404,528,404,528,441,512,441
228,411,244,411,244,438,228,438
427,411,443,411,443,432,427,432
755,411,776,411,776,460,755,460
339,417,356,417,356,438,339,438
361,419,377,419,377,462,361,462
779,420,796,420,796,523,779,523
622,425,638,425,638,454,622,454
688,427,705,427,705,457,688,457
712,428,728,428,728,449,712,449
513,441,528,441,528,459,513,459
337,443,356,443,356,473,337,473
531,448,548,448,548,486,531,486
712,456,726,456,726,494,712,494
619,460,638,460,638,483,619,483
360,462,376,462,376,507,360,507
686,462,705,462,705,502,686,502
446,464,465,464,465,502,446,502
508,464,526,464,526,504,508,504
755,465,774,465,774,496,755,496
265,466,296,467,292,584,262,583
553,467,571,467,571,494,553,494
468,473,485,473,481,590,464,590
598,484,616,484,616,515,598,515
620,488,636,488,636,524,620,524
531,492,548,492,548,504,531,504
712,499,728,499,728,564,712,564
553,500,569,500,569,550,553,550
753,500,774,500,774,523,753,523
356,507,374,507,374,544,356,544
446,507,460,507,460,528,446,528
686,507,704,507,704,537,686,537
508,508,526,508,526,547,508,547
529,508,547,508,547,547,529,547
576,512,592,512,592,542,576,542
424,512,443,516,436,557,417,553
377,516,395,516,395,588,377,588
595,521,614,521,614,550,595,550
755,528,772,528,772,558,755,558
444,534,462,534,462,555,444,555
780,539,795,539,795,568,780,568
572,547,590,547,590,587,572,587
355,550,372,550,372,588,355,588
505,553,524,553,524,592,505,592
529,554,547,555,545,594,526,593
550,555,568,555,568,593,550,593
595,556,612,556,612,595,595,595
420,560,438,560,438,590,420,590
443,561,459,561,459,588,443,588
780,566,796,566,796,606,780,606
712,572,728,572,728,601,712,601
